Method,PRR
Seq Prob PRR,0.7331357240192559
Perplexity PRR,0.14757761759887253
Token Entropy PRR,0.21089303531202092
Lexical Similarity PRR,0.42218726338940127
Eccentricity PRR,0.5836457772885628
